SKU,DESCRIÇÃO,FILA,TORRE,NÍVEL,ENDEREÇO,QTD
22022102,OVVI CM CP IPHONE 15PLUS SILIC MGSAFE PT,C,3,5.0,C-3-5,294
22022105,OVVI CM CP IPHONE 15PRO HOLO MAGSAFE,C,3,5.0,C-3-5,295
22022106,OVVI CM CP IPHONE 15PMAX CLEAR MAGSAFE,C,3,5.0,C-3-5,296
22022111,OVVI CM CP IPHONE 15PMAX SILIC MGSAFE LL,C,3,5.0,C-3-5,297
22022112,OVVI CM CP IPHONE 15PMAX SILIC MGSAFE PT,C,3,5.0,C-3-5,298
22022114,OVVI CM CP IPHONE 15PRO SILIC MGSAFE AM,C,3,6.0,C-3-6,299
22022115,OVVI CM CP IPHONE 15PRO SILIC MGSAFE LL,C,3,6.0,C-3-6,300
22022116,OVVI CM CP IPHONE 15PRO SILIC MGSAFE PT,C,3,6.0,C-3-6,301
22022118,OVVI CM CP IPHONE 15 SILIC MGSAFE AM,C,3,6.0,C-3-6,302
22022119,OVVI CM CP IPHONE 15 SILIC MGSAFE CR,C,3,6.0,C-3-6,303
22022120,OVVI CM CP IPHONE 15 SILIC MGSAFE LL,C,3,6.0,C-3-6,304
22022121,OVVI CM CP IPHONE 15 SILIC MGSAFE PT,C,3,6.0,C-3-6,305
22022122,OVVI CM CP IPHONE 15 SILIC MGSAFE VM,C,3,7.0,C-3-7,306
22022125,OVVI CM CP IPHONE 15PLUS ANTIBAC BR,C,3,7.0,C-3-7,307
22022126,OVVI CM CP IPHONE 15 ANTIBAC PT,C,3,7.0,C-3-7,308
22022205,OVVI CM CP IPHONE 15 TECIDO MAGSAFE PT,C,3,7.0,C-3-7,309
22021257,OVVI CM CP SILICONE IPHONE 14 PROMAX RS,C,4,1.0,C-4-1,310
22021258,OVVI CM CP SILICONE IPHONE 14 PRO MAX RX,C,4,1.0,C-4-1,311
22021259,OVVI CM CP SILICONE IPHONE 14 PRO AZ,C,4,1.0,C-4-1,312
22021260,OVVI CM CP SILICONE IPHONE 14 PRO RS,C,4,1.0,C-4-1,313
22021261,OVVI CM CP SILICONE IPHONE 14 PRO RX,C,4,1.0,C-4-1,314
22021263,OVVI CM CP SILICONE IPHONE 14 LJ,C,4,2.0,C-4-2,315
22021266,OVVI CM CP SILICONE IPHONE 14 VDC,C,4,2.0,C-4-2,316
22021275,OVVI CM CP ANTIBAC IPHONE14PROMAX DGD AZ,C,4,2.0,C-4-2,317
22021285,OVVI CM CP SILICONE GALAXY A53 PT,C,4,2.0,C-4-2,318
22021286,OVVI CM CP SILICONE GALAXY S21 FE PT,C,4,3.0,C-4-3,319
22021289,OVVI CM CP SILICONE GALAXY S22ULTRA PT,C,4,3.0,C-4-3,320
22021290,OVVI CM CP SILICONE GALAXY S22 + PT,C,4,3.0,C-4-3,321
22021291,OVVI CM CP SILICONE IPHONE 14 PRO AZC,C,4,3.0,C-4-3,322
22021292,OVVI CM CP SILICONE IPHONE 14 PRO LL,C,4,4.0,C-4-4,323
22021299,OVVI CM CP SILICONE IPHONE 14 PRO VD,C,4,4.0,C-4-4,324
22021300,OVVI CM CP SILICONE IPHONE 14 PRO VM,C,4,4.0,C-4-4,325
22021305,OVVI CM CP SILICONE IPHONE 14 VM,C,4,5.0,C-4-5,326
22021328,OVVI CM CP IPHONE 13 DUO COPA ARTE AM,C,4,5.0,C-4-5,327
22021331,OVVI CM CP GALAXY S23+ ANTIBAC PT,C,4,5.0,C-4-5,328
22021337,OVVI CM CP IPHONE 13 DUO COPA AM,C,4,5.0,C-4-5,329
22021340,OVVI CM CP IPHONE 13 DUO COPA AZ,C,4,5.0,C-4-5,330
22021343,OVVI CM CP IPHONE 13 DUO COPA VD,C,4,5.0,C-4-5,331
22021359,OVVI CM CP IPHONE 13 DUO COPA ARTE AZ,C,4,6.0,C-4-6,332
22021421,OVVI CM CP GALAXY S23+ SILICONE AZM,C,4,6.0,C-4-6,333
22021422,OVVI CM CP GALAXY S23+ SILICONE PT,C,4,6.0,C-4-6,334
22021423,OVVI CM CP GALAXY S23+ SILICONE VD,C,4,6.0,C-4-6,335
22021424,OVVI CM CP GALAXY S23 ANTIBAC BR,C,4,6.0,C-4-6,336
22021425,OVVI CM CP GALAXY S23 ANTIBAC PT,C,4,6.0,C-4-6,337
22021436,OVVI CM CP GALAXY S23 SILICONE AZC,C,4,6.0,C-4-6,338
22021437,OVVI CM GALAXY S23 SILICONE AZM,C,4,7.0,C-4-7,339
22021438,OVVI CM CP GALAXY S23 SILICONE PT,C,4,7.0,C-4-7,340
22021440,OVVI CM CP GALAXY S23 SILICONE VD,C,4,7.0,C-4-7,341
22021441,OVVI CM CP GALAXY S23 ULTRA ANTIBAC PT,C,4,7.0,C-4-7,342
22021442,OVVI CM CP GALAXY S23 ULTRA ANTIBAC BR,C,4,7.0,C-4-7,343
22021456,OVVI CM CP IPHONE 13 ALÇA PERSO PT,C,4,7.0,C-4-7,344
22021461,OVVI CM CP IPHONE 14 PLUS ALÇA PERSO PT,C,4,7.0,C-4-7,345
22021129,OVVI CM CP SILICONE GALAXY S22 AZM,C,5,1.0,C-5-1,346
22021130,OVVI CM CP SILICONE GALAXY S22 PT,C,5,1.0,C-5-1,347
22021151,OVVI CM CP SILICONE IPHONE 13 RX,C,5,1.0,C-5-1,348
22021152,OVVI CM CP SILICONE IPHONE 13 VDC,C,5,1.0,C-5-1,349
22021153,OVVI CM CP SILICONE IPHONE 14 PLUS AZ,C,5,1.0,C-5-1,350
22021154,OVVI CM CP SILICONE IPHONE 14 PLUS RS,C,5,1.0,C-5-1,351
22021155,OVVI CM CP SILICONE IPHONE 14 PLUS LL,C,5,2.0,C-5-2,352
22021156,OVVI CM CP SILICONE IPHONE 14 PLUS AZM,C,5,2.0,C-5-2,353
22021157,OVVI CM CP SILICONE IPHONE 14 PLUS PT,C,5,2.0,C-5-2,354
22021158,OVVI CM CP SILICONE IPHONE 14 PLUS RSC,C,5,3.0,C-5-3,355
22021159,OVVI CM CP SILICONE IPHONE 14 PLUS VD,C,5,3.0,C-5-3,356
22021160,OVVI CM CP SILICONE IPHONE 14 PLUS VM,C,5,4.0,C-5-4,357
22021161,OVVI CM CP SILICONE IPHONE 14 PROMAX AZC,C,5,4.0,C-5-4,358
22021162,OVVI CM CP SILICONE IPHONE 14 PRO MAX LL,C,5,4.0,C-5-4,359
22021163,OVVI CM CP SILICONE IPHONE 14 PROMAX AZM,C,5,5.0,C-5-5,360
22021165,OVVI CM CP SILICONE IPHONE 14 PROMAX RSC,C,5,5.0,C-5-5,361
22021166,OVVI CM CP SILICONE IPHONE 14 PRO MAX VD,C,5,5.0,C-5-5,362
22021167,OVVI CM CP SILICONE IPHONE 14 PRO MAX VM,C,5,6.0,C-5-6,363
22021170,OVVI CM CP SILICONE IPHONE 14 PRO AZM,C,5,6.0,C-5-6,364
22021172,OVVI CM CP SILICONE IPHONE 14 PRO RSC,C,5,6.0,C-5-6,365
22021245,OVVI CM CP SILICONE IPHONE 13 AZ,C,5,7.0,C-5-7,366
22021246,OVVI CM CP SILICONE IPHONE 13 LJ,C,5,7.0,C-5-7,367
22021255,OVVI CM CP SILICONE IPHONE 14 PLUS RX,C,5,7.0,C-5-7,368
22021256,OVVI CM CP SILICONE IPHONE 14 PRO MAX AZ,C,5,7.0,C-5-7,369
22020764,OVVI CM CP SILICONE IPHONE 14 PLUS AZC,C,6,1.0,C-6-1,370
22021021,OVVI CM CP ANTIBAC IPHONE 13 DGD AZ,C,6,1.0,C-6-1,371
22021025,OVVI CM CP ANTIBAC IPHONE 13 DGD RS,C,6,1.0,C-6-1,372
22021041,OVVI CM CP ANTIBAC IPHONE 14 BR,C,6,2.0,C-6-2,373
22021042,OVVI CM CP ANTIBAC IPHONE 14 DGD AZ,C,6,2.0,C-6-2,374
22021043,OVVI CM CP ANTIBAC IPHONE 14 DGD RS,C,6,2.0,C-6-2,375
22021047,OVVI CM CP ANTIBAC IPHONE 14 PLUS DGD AZ,C,6,2.0,C-6-2,376
22021048,OVVI CM CP ANTIBAC IPHONE 14 PLUS DGD RS,C,6,2.0,C-6-2,377
22021049,OVVI CM CP ANTIBAC IPHONE 14 PLUS LL,C,6,3.0,C-6-3,378
22021050,OVVI CM CP ANTIBAC IPHONE 14 PLUS PT,C,6,3.0,C-6-3,379
22021052,OVVI CM CP ANTIBAC IPHONE 14 PRO DGD AZ,C,6,3.0,C-6-3,380
22021053,OVVI CM CP ANTIBAC IPHONE 14 PRO DGD RS,C,6,4.0,C-6-4,381
22021057,OVVI CM CP ANTIBAC IPHONE14PROMAX DGD AZ,C,6,4.0,C-6-4,382
22021058,OVVI CM CP ANTIBAC IPHONE14PROMAX DGD RS,C,6,4.0,C-6-4,383
22021059,OVVI CM CP ANTIBAC IPHONE 14 PRO MAX LL,C,6,4.0,C-6-4,384
22021063,OVVI CM CP ANTIBAC GALAXY A73 PT,C,6,4.0,C-6-4,385
22021065,OVVI CM CP ANTIBAC GALAXY S22 PT,C,6,5.0,C-6-5,386
22021066,OVVI CM CP ANTIBAC GALAXY S22 ULTRA PT,C,6,5.0,C-6-5,387
22021067,OVVI CM CP ANTIBAC GALAXY S22+ PT,C,6,5.0,C-6-5,388
22021076,APPLE ,C,6,5.0,C-6-5,389
22021077,OVVI CM CP MAGSAFE IPHONE 14 PLUS TPT,C,6,5.0,C-6-5,390
22021093,OVVI CM CP SILICONE GALAXY A73 PT,C,6,6.0,C-6-6,391
22021107,OVVI CM CP SILICONE IPHONE 13 VM,C,6,6.0,C-6-6,392
22021109,OVVI CM CP SILICONE GALAXY S22ULTRA PT,C,6,6.0,C-6-6,393
22021118,OVVI CM CP ANTIBAC IPHONE 14 DGD AZ,C,6,6.0,C-6-6,394
22021119,OVVI CM CP ANTIBAC IPHONE 14 PT,C,6,6.0,C-6-6,395
22021120,OVVI CM CP ANTIBAC IPHONE 14 MAX BR,C,6,6.0,C-6-6,396
22021121,OVVI CM CP ANTIBAC IPHONE 14 MAX DGD AZ,C,6,7.0,C-6-7,397
22021123,OVVI CM CP ANTIBAC IPHONE 14 PRO DGD AZ,C,6,7.0,C-6-7,398
22021126,OVVI CM CP SILICONE GALAXY S21 FE AZM,C,6,7.0,C-6-7,399
22021127,OVVI CM CP SILICONE GALAXY S21 FE PT,C,6,7.0,C-6-7,400
22021128,OVVI CM CP SILICONE GALAXY S21 FE VD,C,6,7.0,C-6-7,401
22019701,CUSTOMIC CP IMPAC CLEAR CRYSTAL GLX A51,D,1,1.0,D-1-1,402
22019702,CUSTOMIC CP IMPAC CLEAR CRYSTAL GLX A71,D,1,1.0,D-1-1,403
22019755,CUSTOMIC CAPA SEED IPHONE 11 BR,D,1,1.0,D-1-1,404
22019757,CUSTOMIC CP IMPA CLEAR CRYSTAL IPHONE 12,D,1,2.0,D-1-2,405
22019758,CUSTOMIC CP IMPA FLEX ANTIB IPHONE 12 M,D,1,2.0,D-1-2,406
22019759,CUSTOMIC CP IMP CLEAR CRYSTAL IPHONE 12M,D,1,2.0,D-1-2,407
22019760,CUSTOMIC CP SEED ANTIBAC IPHONE 12 M BR,D,1,3.0,D-1-3,408
22019763,CUSTOMIC CP IMPA FLEX ANTIB IPHONE 12 PM,D,1,3.0,D-1-3,409
22019764,CUSTOMIC CP IMP CLEAR CRYSTA IPHONE 12PM,D,1,3.0,D-1-3,410
22019765,CUSTOMIC CP SEED ANTIBA IPHONE 12 PM BR,D,1,4.0,D-1-4,411
22019767,CUSTOMIC CP SEED ANTIBAC IPHONE 12/12 P,D,1,4.0,D-1-4,412
22019776,CUSTOMIC CP SEED ANTIBAC GALAXY S20 BR,D,1,4.0,D-1-4,413
22019865,CUSTOMIC CAPA SOFT TOUCH GLX S20 FE PT,D,1,5.0,D-1-5,414
22019928,CUSTOMIC CAPA SOFT TOUCH LG K52 PT,D,1,5.0,D-1-5,415
22019929,CUSTOMIC CAPA SOFT TOUCH LG K62 K62+ PT,D,1,5.0,D-1-5,416
22019930,CUSTOMIC CAPA SOFT TOUCH GALAXY A02S PT,D,1,6.0,D-1-6,417
22019932,CUSTOMIC CP SOFT TOUCH GALAXY A32 5G PT,D,1,6.0,D-1-6,418
22019933,CUSTOMIC CP IMPAC FLEX ANTIBA GALAXY S21,D,1,6.0,D-1-6,419
22019934,CUSTOMIC CP IMPAC FLEX ANTIBA S21 ULTRA,D,1,6.0,D-1-6,420
22019955,CUSTOMIC CP IMPAC FLEX ANTIBA S21+,D,1,7.0,D-1-7,421
22020008,CUSTOMIC CP SOFT TOUCH GALAXY A32 4G PT,D,1,7.0,D-1-7,422
22020011,CUSTOMIC CP SOFT TOUCH GALAXY A72 4G PT,D,1,7.0,D-1-7,423
22019470,CUSTOMIC CAPA SOFT TOUCH LG K51S PT,D,2,1.0,D-2-1,424
22019471,CUSTOMIC CAPA SOFT TOUCH LG K61 PT,D,2,1.0,D-2-1,425
22019486,CUSTOMIC CAPA SOFT TOUCH GALAXY A21S AZ,D,2,1.0,D-2-1,426
22019487,CUSTOMIC CAPA SOFT TOUCH GALAXY A21S RS,D,2,2.0,D-2-2,427
22019488,CUSTOMIC CAPA SOFT TOUCH GALAXY A31 AZ,D,2,2.0,D-2-2,428
22019489,CUSTOMIC CAPA SOFT TOUCH GALAXY A31 RS,D,2,2.0,D-2-2,429
22019490,CUSTOMIC CAPA SOFT TOUCH LG K41S AZ,D,2,3.0,D-2-3,430
22019587,CUSTOMIC CP IMP CLEAR CRYSTAL IPHONE 11,D,2,3.0,D-2-3,431
22019589,CUSTOMIC CP IMP CLEAR CRYSTAL LG K41S,D,2,3.0,D-2-3,432
22019651,CUSTOMIC CP IMPA FLEX ANTIBAC NOTE 20,D,2,4.0,D-2-4,433
22019652,CUSTOMIC CP IMPA FLEX ANTIBAC NOTE 20 UT,D,2,4.0,D-2-4,434
22019653,CUSTOMIC CP IMPACTOR FLEX ANTIBAC S20,D,2,4.0,D-2-4,435
22019654,CUSTOMIC CP IMPACTOR FLEX ANTIBAC S20 UT,D,2,5.0,D-2-5,436
22019655,CUSTOMIC CP IMPACTOR FLEX ANTIBAC S20+,D,2,5.0,D-2-5,437
22019656,CUSTOMIC CP IMPA FLEX ANTIBAC IPHONE 11,D,2,5.0,D-2-5,438
22019679,CUSTOMIC CP IMP CLEAR CRYSTAL LG K51S,D,2,5.0,D-2-5,439
22019681,CUSTOMIC CP IMP CLEAR CRYSTAL LG K61,D,2,6.0,D-2-6,440
22019695,CUSTOMIC CP IMP CLEAR CRYSTAL G8 PW LITE,D,2,6.0,D-2-6,441
22019696,CUSTOMIC CP IMP CLEAR CRYSTAL ONE FUSION,D,2,6.0,D-2-6,442
22019698,CUSTOMIC CP IMPAC CLEAR CRYSTAL GLX A11,D,2,7.0,D-2-7,443
22019699,CUSTOMIC CP IMPAC CLEAR CRYSTAL GLX A21S,D,2,7.0,D-2-7,444
22019700,CUSTOMIC CP IMPAC CLEAR CRYSTAL GLX A31,D,2,7.0,D-2-7,445
22019245,CUSTOMIC CAPA SEED IPHONE 11 PRO PTL,D,3,1.0,D-3-1,446
22019246,CUSTOMIC CAPA SEED IPHONE 11 PRO MAX PTL,D,3,1.0,D-3-1,447
22019247,CUSTOMIC CAPA SEED IPHONE 11 PTL,D,3,1.0,D-3-1,448
22019248,CUSTOMIC CAPA SOFT TOUCH GALAXY A70 PT,D,3,1.0,D-3-1,449
22019249,CUSTOMIC CAPA SOFT TOUCH GALAXY A30S PT,D,3,2.0,D-3-2,450
22019250,CUSTOMIC CAPA SOFT TOUCH GALAXY A20S AZ,D,3,2.0,D-3-2,451
22019252,CUSTOMIC CAPA SOFT TOUCH GALAXY A20S RS,D,3,2.0,D-3-2,452
22019253,CUSTOMIC CAPA SOFT TOUCH GALAXY A30S RS,D,3,2.0,D-3-2,453
22019255,CUSTOMIC CAPA SOFT TOUCH GALAXY A20S PT,D,3,2.0,D-3-2,454
22019256,CUSTOMIC CAPA SOFT TOUCH MOTO E6 PLUS PT,D,3,2.0,D-3-2,455
22019257,CUSTOMIC CAPA SOFT TOUCH MOTO G8 PLAY PT,D,3,3.0,D-3-3,456
22019259,CUSTOMIC CAPA SOFT TOUCH MOTO G8 PLUS PT,D,3,3.0,D-3-3,457
22019260,CUSTOMIC CAPA SOFT TOUCH LG K40S PT,D,3,3.0,D-3-3,458
22019261,CUSTOMIC CAPA SOFT MOTO ONE ACTION PT,D,3,4.0,D-3-4,459
22019262,CUSTOMIC CAPA SOFT TCH MOTO ONE MACRO PT,D,3,4.0,D-3-4,460
22019263,CUSTOMIC CAPA SOFT MOTO ONE VISION PT,D,3,4.0,D-3-4,461
22019355,CUSTOMIC CAPA SOFT TOUCH GALAXY A51 PT,D,3,4.0,D-3-4,462
22019365,CUSTOMIC CAPA SOFT TOUCH GALAXY A71 PT,D,3,5.0,D-3-5,463
22019386,CUSTOMIC CAPA SOFT TOUCH IPHONE 11 PT,D,3,5.0,D-3-5,464
22019387,CUSTOMIC CAP SOFT TOUCH IPHONE 11 PROMAX,D,3,5.0,D-3-5,465
22019388,CUSTOMIC CAPA SOFT TOUCH IPHONE 11PRO PT,D,3,5.0,D-3-5,466
22019461,CUSTOMIC CAPA SOFT TOUCH IPHONE SE BR,D,3,6.0,D-3-6,467
22019465,CUSTOMIC CAPA SOFT TOUCH GALAXY A01 PT,D,3,6.0,D-3-6,468
22019466,CUSTOMIC CAPA SOFT TOUCH GALAXY A11 PT,D,3,6.0,D-3-6,469
22019467,CUSTOMIC CAPA SOFT TOUCH GALAXY A21S PT,D,3,7.0,D-3-7,470
22019468,CUSTOMIC CAPA SOFT TOUCH GALAXY A31 PT,D,3,7.0,D-3-7,471
22019469,CUSTOMIC CAPA SOFT TOUCH LG K41S PT,D,3,7.0,D-3-7,472
22023267,OVVI CM CP GALAXY S25+ SILIC AZ,D,4,1.0,D-4-1,473
22023268,OVVI CM CP GALAXY S25+ SILIC CZ,D,4,1.0,D-4-1,474
22023269,OVVI CM CP GALAXY S25 ANTIBAC BR,D,4,1.0,D-4-1,475
22023270,OVVI CM CP GALAXY S25 ULTRA ANTIBAC BR,D,4,2.0,D-4-2,476
22023271,OVVI CM CP GALAXY S25+ ANTIBAC BR,D,4,2.0,D-4-2,477
22023325,OVVI CP IPHONE 16 PMAX HOLO MAGSAFE,D,4,2.0,D-4-2,478
22023341,OVVI CP IPHONE 16 CRISTAL MAGSAFE,D,4,2.0,D-4-2,479
22023343,OVVI CP IPHONE 16 PRO CRISTAL MAGSAFE,D,4,2.0,D-4-2,480
22023344,OVVI CP IPHONE 16 PMAX CRISTAL MAGSAFE,D,4,3.0,D-4-3,481
22023345,APPLE ,D,4,3.0,D-4-3,482
22023347,APPLE ,D,4,3.0,D-4-3,483
22023348,APPLE ,D,4,3.0,D-4-3,484
22023349,OVVI CP GALAXY S25 DUPLA MAGN PT,D,4,4.0,D-4-4,485
22023350,OVVI CP GALAXY S25 ULTRA DUPLA MAGN PT,D,4,4.0,D-4-4,486
22023351,OVVI CP GALAXY S25+ DUPLA MAGN PT,D,4,4.0,D-4-4,487
22023352,APPLE ,D,4,4.0,D-4-4,488
22023354,APPLE ,D,4,5.0,D-4-5,489
22023355,APPLE ,D,4,5.0,D-4-5,490
22023356,OVVI CP GALAXY S25 DUPLA MAGN AZ,D,4,5.0,D-4-5,491
22023357,OVVI CP GALAXY S25 ULTRA DUPLA MAGN AZ,D,4,5.0,D-4-5,492
22023358,OVVI CP GALAXY S25+ DUPLA MAGN AZ,D,4,6.0,D-4-6,493
22023360,OVVI CP GALAXY S25 SILIC MAGN PT,D,4,6.0,D-4-6,494
22023362,OVVI CP GALAXY S25+ SILIC MAGN PT,D,4,6.0,D-4-6,495
22023364,APPLE ,D,4,6.0,D-4-6,496
22023365,OVVI CP GALAXY S25 ULTRA HOLO MAGN,D,4,7.0,D-4-7,497
22023366,OVVI CP GALAXY S25+ HOLO MAGN,D,4,7.0,D-4-7,498
22023555,OVVI CP IPHONE 16E CLEAR MAGSAFE,D,4,7.0,D-4-7,499
22023556,OVVI CP IPHONE 16E SILICONE MAGSAFE PT,D,4,7.0,D-4-7,500
22023189,OVVI CM CP IPHONE 16PRO SILIC MGSAFE AZ,D,5,1.0,D-5-1,501
22023190,OVVI CM CP IPHONE 16PRO SILIC MGSAFE CZ,D,5,1.0,D-5-1,502
22023192,OVVI CM CP IPHONE 16PRO SILIC MGSAFE PT,D,5,1.0,D-5-1,503
22023194,OVVI CM CP IPHONE 16PRO SILIC MGSAFE RS,D,5,2.0,D-5-2,504
22023195,OVVI CM CP IPHONE 16PRO SILIC MGSAFE VD,D,5,2.0,D-5-2,505
22023196,OVVI CM CP IPHONE 16PRO SILIC MGSAFE VDC,D,5,2.0,D-5-2,506
22023197,OVVI CM CP IPHONE 16PRO TECIDO MGSAFE PT,D,5,2.0,D-5-2,507
22023198,OVVI CM CP IPHONE 16 SILIC MGSAFE AZ,D,5,3.0,D-5-3,508
22023199,OVVI CM CP IPHONE 16 SILIC MGSAFE CZ,D,5,3.0,D-5-3,509
22023200,OVVI CM CP IPHONE 16 SILIC MGSAFE PT,D,5,3.0,D-5-3,510
22023201,OVVI CM CP IPHONE 16 SILIC MGSAFE RS,D,5,4.0,D-5-4,511
22023202,OVVI CM CP IPHONE 16 SILIC MGSAFE VD,D,5,4.0,D-5-4,512
22023203,OVVI CM CP IPHONE 16 SILIC MGSAFE VDC,D,5,4.0,D-5-4,513
22023204,OVVI CM CP IPHONE 16 TECIDO MGSAFE PT,D,5,5.0,D-5-5,514
22023219,OVVI CM CP GALAXY S25 SILIC AZ,D,5,5.0,D-5-5,515
22023220,OVVI CM CP GALAXY S25 SILIC CZ,D,5,5.0,D-5-5,516
22023221,OVVI CM CP GALAXY S25 SILIC PT,D,5,6.0,D-5-6,517
22023222,OVVI CM CP GALAXY S25 ULTRA SILIC CZ,D,5,6.0,D-5-6,518
22023223,OVVI CM CP GALAXY S25 ULTRA SILIC PT,D,5,6.0,D-5-6,519
22023224,OVVI CM CP GALAXY S25 ULTRA SILIC RX,D,5,7.0,D-5-7,520
22023241,OVVI CP IPHONE 16 HOLO MAGSAFE,D,5,7.0,D-5-7,521
22023244,OVVI CP IPHONE 16 PRO HOLO MAGSAFE,D,5,7.0,D-5-7,522
22023266,OVVI CM CP GALAXY S25+ SILIC PT,D,5,7.0,D-5-7,523
22022868,OVVI CM CP IPHONE 16PRO SILIC MGSAFE VDC,D,6,1.0,D-6-1,524
22022870,OVVI CM CP IPHONE 16 SILIC MGSAFE AZ,D,6,1.0,D-6-1,525
22022873,OVVI CM CP IPHONE 16 SILIC MGSAFE RS,D,6,1.0,D-6-1,526
22022874,OVVI CM CP IPHONE 16 SILIC MGSAFE VD,D,6,1.0,D-6-1,527
22022875,OVVI CM CP IPHONE 16 SILIC MGSAFE VDC,D,6,1.0,D-6-1,528
22022871,OVVI CM CP IPHONE 16 SILIC MGSAFE CZ,D,6,1.0,D-6-1,529
22022896,OVVI CP IPHONE 15PMAX SILIC MGSAFE PT,D,6,1.0,D-6-1,530
22022886,OVVI CP IPHONE 14 MGSAFE 2.0 TPT,D,6,2.0,D-6-2,531
22022892,OVVI CP IPHONE 15PRO SILIC MGSAFE PT,D,6,2.0,D-6-2,532
22022896,OVVI CP IPHONE 15PMAX SILIC MGSAFE PT,D,6,2.0,D-6-2,533
22022911,OVVI CP GALAXY S23 FE SILIC MGSAFE VD,D,6,3.0,D-6-3,534
22022912,OVVI CP GALAXY S23 FE CLEAR MGSAFE,D,6,3.0,D-6-3,535
22022917,OVVI CP GALAXY S24 ULTRA SILIC PT,D,6,3.0,D-6-3,536
22022969,OVVI CM CP IPHONE 16 SILIC MGSAFE RX,D,6,3.0,D-6-3,537
22023165,OVVI CM CP IPHONE 16 ANTIBAC BR,D,6,3.0,D-6-3,538
22023166,OVVI CM CP IPHONE 16 CLEAR MGSAFE,D,6,4.0,D-6-4,539
22023167,APPLE ,D,6,4.0,D-6-4,540
22023169,OVVI CM CP IPHONE 16PMAX CLEAR MGSAFE,D,6,4.0,D-6-4,541
22023170,OVVI CM CP IPHONE 16PMAX SILIC MGSAFE AZ,D,6,4.0,D-6-4,542
22023168,OVVI CM CP IPHONE 16PMAX ANTIBAC BR,D,6,4.0,D-6-4,543
22023171,OVVI CM CP IPHONE 16PMAX SILIC MGSAFE CZ,D,6,5.0,D-6-5,544
22023172,OVVI CM CP IPHONE 16PMAX SILIC MGSAFE PT,D,6,5.0,D-6-5,545
22023173,OVVI CM CP IPHONE 16PMAX SILIC MGSAFE RS,D,6,5.0,D-6-5,546
22023176,OVVI CM CP IPHONE 16PLUS CLEAR MGSAFE,D,6,6.0,D-6-6,547
22023177,OVVI CM CP IPHONE 16PLUS SILIC MGSAFE AZ,D,6,6.0,D-6-6,548
22023178,OVVI CM CP IPHONE 16PLUS SILIC MGSAFE CZ,D,6,6.0,D-6-6,549
22023179,OVVI CM CP IPHONE 16PLUS SILIC MGSAFE PT,D,6,7.0,D-6-7,550
22023185,OVVI CM CP IPHONE 16PMAX SILIC MGSAFE VD,D,6,7.0,D-6-7,551
22023186,OVVI CM CP IPHONE 16PMX SILIC MGSAFE VDC,D,6,7.0,D-6-7,552
VAZIO,VAZIO,E,1,1.0,E-1-1,553
VAZIO,VAZIO,E,1,2.0,E-1-2,554
VAZIO,VAZIO,E,1,3.0,E-1-3,555
VAZIO,VAZIO,E,1,4.0,E-1-4,556
VAZIO,VAZIO,E,1,5.0,E-1-5,557
VAZIO,VAZIO,E,1,6.0,E-1-6,558
VAZIO,VAZIO,E,1,7.0,E-1-7,559
VAZIO,VAZIO,E,2,1.0,E-2-1,560
VAZIO,VAZIO,E,2,2.0,E-2-2,561
VAZIO,VAZIO,E,2,3.0,E-2-3,562
VAZIO,VAZIO,E,2,4.0,E-2-4,563
VAZIO,VAZIO,E,2,5.0,E-2-5,564
VAZIO,VAZIO,E,2,6.0,E-2-6,565
VAZIO,VAZIO,E,2,7.0,E-2-7,566
VAZIO,VAZIO,E,3,1.0,E-3-1,567
VAZIO,VAZIO,E,3,2.0,E-3-2,568
22023720,OVVI CM CP APPLE AIRTAG SILICONE CZ,E,3,3.0,E-3-3,569
VAZIO,VAZIO,E,3,4.0,E-3-4,570
22023721,OVVI CM CP APPLE AIRPODS 4 SILICONE AZ,E,3,5.0,E-3-5,571
22023715,OVVI CM CP SSG BUDS3/BUDS3 PRO SILIC PT,E,3,5.0,E-3-5,572
22023716,OVVI CM CP SSG BUDS3/BUDS3 PRO SILIC AZ,E,3,5.0,E-3-5,573
22023717,OVVI CM CP SSG BUDS3/BUDS3 PRO SILIC VD,E,3,5.0,E-3-5,574
VAZIO,VAZIO,E,3,6.0,E-3-6,575
22023772,APPLE ,E,3,7.0,E-3-7,576
22023563,CM CAPA GALAXY S25 EDGE IMPACTOR CLEAR,E,4,1.0,E-4-1,577
22023557,CM CP IPHONE 16E IMPACTOR CLEAR,E,4,1.0,E-4-1,578
22023564,CM CAPA GALAXY S25 EDGE SOFT 1.5 PT,E,4,2.0,E-4-2,579
22023618,CM CP MOTO EDGE 60 FUSION IMPACTOR CLEAR,E,4,3.0,E-4-3,580
22023617,CM CP MOTO EDGE 60 FUSION SOFT 1.5 PT,E,4,3.0,E-4-3,581
22023625,CM CAPA GALAXY A26 5G IMPACTOR CLEAR,E,4,4.0,E-4-4,582
22023626,CM CAPA GALAXY A36 5G IMPACTOR CLEAR,E,4,4.0,E-4-4,583
22023627,CM CAPA GALAXY A56 5G IMPACTOR CLEAR,E,4,5.0,E-4-5,584
22023697,OVVI CM CARTEIRA TECIDO CLASS. MGSAFE PT,E,4,5.0,E-4-5,585
22023701,CM CAPA MOTO EDGE 60 PRO SOFT 1.5 PT,E,4,5.0,E-4-5,586
